Year,Annual Mean,Annual Temperature
1961,1137.82,26.28
1962,1356.45,26.68
1963,1354.66,27.02
1964,1241.07,26.66
1965,1201.45,26.56
1966,1253.62,26.81
1967,1172.57,26.55
1968,1316.28,26.78
1969,1293.2,27.3
1970,1144.13,26.91
1971,1129.25,26.45
1972,1084.13,26.84
1973,992.14,27.19
1974,1185.93,26.33
1975,1201.05,26.27
1976,1188.28,26.43
1977,1036.27,26.54
1978,1312.19,26.59
1979,1227.65,26.88
1980,1249.34,26.91
1981,1133.86,26.9
1982,1049.96,26.99
1983,888.06,27.11
1984,1058.9,27.23
1985,1114.55,27.01
1986,1068.71,27.04
1987,1026.08,27.38
1988,1197.98,26.86
1989,1146.65,26.39
1990,1102.29,27.2
1991,1260.87,26.96
1992,1116.64,26.59
1993,1091,26.96
1994,1234.26,26.75
1995,1196.07,27.05
1996,1250.16,27.13
1997,1237.85,27.14
1998,1167.35,27.51
1999,1263.55,27.12
2000,1146.59,26.92
2001,1152.54,27.11
2002,1142.42,27.28
2003,1277.44,27.38
2004,1148.15,27.38
2005,1187.63,27.5
2006,1182.21,27.47
2007,1187.19,27.45
2008,1205.2,27.09
2009,1170.9,27.75
2010,1241.66,27.86
2011,1051.71,27.49
2012,1240.5,27.3
2013,1069.52,27.51
2014,1142.71,27.61
2015,1060.78,27.38
2016,1245.16,27.79
2017,1158.66,27.46
2018,1233.04,27.41
2019,1296.78,27.29
2020,1254.97,27.43
2021,1114.97,27.67
2022,1228.76,27.15
