Pricing Model,Deployment Type,Number of Users,Features & Customization,Integration Requirements,Training Cost,Security & Compliance Cost,Support & Maintenance,Scalability Cost,Contract Fees,Department Selected,Financial Management System,Total Price
Perpetual License,On-premise,83,Basic,Standard,595,793,1227,352,1614,HIS-PACs Basic,Advanced,21767
Perpetual License,Cloud-based,99,Advanced,Full Interoperability,881,2135,1599,2155,647,Ophthalmology,Advanced,29195
Perpetual License,Cloud-based,68,Customized,Full Interoperability,1361,1781,1717,1842,865,ENT,Simple,26568
Perpetual License,Cloud-based,67,Customized,Standard,312,2508,1139,1894,1621,Ophthalmology,Simple,22880
Subscription,Cloud-based,100,Customized,Full Interoperability,654,1110,823,2233,714,Oral Surgery,Simple,23746
Perpetual License,On-premise,70,Advanced,Full Interoperability,1064,798,603,338,1306,Oral Surgery,Advanced,22689
Subscription,On-premise,7,Advanced,High Compatibility,490,2311,1947,2328,1768,ENT,Simple,19624
Perpetual License,On-premise,38,Customized,Standard,936,1264,1534,1769,1856,EKG,Simple,23369
Pay-per-Encounter,Cloud-based,57,Customized,Standard,1464,2640,1812,1927,735,HIS-PACs Basic,Simple,22184
Subscription,On-premise,18,Advanced,Standard,1425,2757,1133,757,604,HIS-PACs Advanced,Simple,14460
Pay-per-Encounter,On-premise,73,Advanced,Standard,354,2771,1036,888,1142,Radiology,Advanced,19953
Perpetual License,On-premise,9,Advanced,Standard,915,2795,1529,2319,1229,Maternity,Advanced,24268
Perpetual License,Cloud-based,51,Customized,Full Interoperability,363,2715,1646,803,1605,HIS-PACs Advanced,Simple,26472
Subscription,Cloud-based,25,Customized,High Compatibility,1397,2853,920,527,1508,Ophthalmology,Advanced,22299
Subscription,On-premise,13,Basic,Full Interoperability,502,1854,1279,916,533,HIS-PACs Advanced,Simple,16327
Perpetual License,Cloud-based,31,Advanced,Standard,668,905,1424,1224,871,EEG,Advanced,19821
Perpetual License,On-premise,98,Advanced,Standard,425,2823,1867,2379,1789,Laboratory,Advanced,29013
Perpetual License,On-premise,49,Basic,High Compatibility,884,1539,1481,1209,777,Laboratory,Advanced,21891
Subscription,Cloud-based,14,Advanced,Standard,1162,2291,1947,2322,1374,Physical Therapy,Advanced,19547
Perpetual License,On-premise,76,Basic,Full Interoperability,947,1551,1650,1610,980,Radiology,Simple,24831
Perpetual License,Cloud-based,94,Customized,Standard,798,2963,1144,1170,713,HIS-PACs Advanced,Simple,23330
Subscription,Cloud-based,74,Advanced,High Compatibility,1156,1888,910,1084,904,Ophthalmology,Advanced,20417
Subscription,On-premise,91,Customized,Standard,517,1626,1515,799,770,Maternity,Advanced,20786
Pay-per-Encounter,Cloud-based,28,Customized,High Compatibility,1344,929,1726,1236,1526,Radiology,Advanced,19579
Pay-per-Encounter,Cloud-based,38,Basic,Standard,1396,1943,781,747,1215,Surgery,Advanced,15720
Pay-per-Encounter,On-premise,87,Customized,Full Interoperability,1097,782,629,940,553,EKG,Simple,21697
Subscription,On-premise,76,Advanced,High Compatibility,1102,2997,793,527,1858,ENT,Advanced,21692
Subscription,Cloud-based,46,Basic,High Compatibility,1399,2360,1149,338,880,HIS-PACs Intermediate,Advanced,18641
Perpetual License,On-premise,8,Advanced,High Compatibility,491,1993,454,2321,1873,EKG,Simple,21652
Pay-per-Encounter,On-premise,46,Advanced,High Compatibility,970,1447,977,1998,1807,Physical Therapy,Simple,17535
Perpetual License,Cloud-based,66,Advanced,Standard,949,2080,1129,1336,1163,HIS-PACs Basic,Simple,19967
Pay-per-Encounter,Cloud-based,59,Basic,Full Interoperability,1483,2248,1031,1979,1124,HIS-PACs Basic,Simple,18688
Pay-per-Encounter,Cloud-based,99,Customized,Standard,1466,940,1730,1991,787,Ophthalmology,Advanced,22446
Subscription,On-premise,18,Basic,Standard,629,856,1544,1319,1417,EEG,Advanced,16953
Pay-per-Encounter,On-premise,20,Customized,Standard,1272,629,1998,538,910,HIS-PACs Basic,Advanced,16284
Pay-per-Encounter,On-premise,31,Customized,Standard,425,1638,510,317,1802,Laboratory,Simple,14390
Pay-per-Encounter,On-premise,53,Basic,High Compatibility,934,1926,1212,1991,1241,EEG,Simple,15786
Pay-per-Encounter,On-premise,20,Basic,Full Interoperability,1023,1146,610,2099,888,Ophthalmology,Advanced,17412
Subscription,Cloud-based,82,Customized,Standard,627,2901,1320,2052,897,HIS-PACs Basic,Simple,21210
Pay-per-Encounter,Cloud-based,62,Basic,Full Interoperability,1394,869,1778,1620,1198,Ophthalmology,Simple,19335
Perpetual License,Cloud-based,84,Advanced,Standard,334,2430,1299,2129,854,HIS-PACs Intermediate,Simple,21846
Pay-per-Encounter,Cloud-based,78,Basic,Full Interoperability,1500,2429,1836,826,1942,Radiology,Advanced,24672
Perpetual License,Cloud-based,67,Basic,Full Interoperability,1154,1892,973,690,1213,Physical Therapy,Advanced,26370
Perpetual License,On-premise,26,Advanced,High Compatibility,1156,512,1142,885,1982,ENT,Advanced,20542
Perpetual License,Cloud-based,12,Basic,High Compatibility,1468,1338,1581,2045,566,Laboratory,Simple,20785
Subscription,Cloud-based,24,Basic,Full Interoperability,1367,2300,848,2232,1264,Ophthalmology,Simple,21089
Pay-per-Encounter,On-premise,100,Advanced,Standard,1180,1501,449,2232,1940,EKG,Advanced,20513
Subscription,On-premise,35,Advanced,Full Interoperability,972,518,1295,1855,1602,Oral Surgery,Advanced,22915
Pay-per-Encounter,Cloud-based,41,Customized,High Compatibility,1088,2005,1316,833,1412,HIS-PACs Advanced,Advanced,20571
Subscription,On-premise,73,Basic,Full Interoperability,406,856,910,2135,1771,Surgery,Simple,19312
